Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
GD Lloyd (ENG),1996-1998,6,5,1,39,22,9.75,80,48.75,0,0,2
TBA May (AUS),1987-1995,47,12,8,39,15,9.75,52,75,0,0,0
LS Pascoe (AUS),1977-1982,29,11,7,39,15*,9.75,102,38.23,0,0,2
K Pierre (WI),2019-2020,3,2,0,39,21,19.5,47,82.97,0,0,0
Ramveer Rai (UAE),2004-2004,1,1,0,39,39,39,124,31.45,0,0,0
RH Scholte (NL),2002-2003,5,5,0,39,12,7.8,135,28.88,0,0,0
A Shahzad (ENG),2010-2011,11,8,2,39,9,6.5,60,65,0,0,0
Zulfiqar Ali (EAf),1975-1975,3,3,1,39,30,19.5,76,51.31,0,0,0
JT Ball (ENG),2016-2018,18,6,2,38,28,9.5,49,77.55,0,0,2
CJD Chappell (CAN),1979-1979,3,3,0,38,19,12.66,143,26.57,0,0,0
PP Chawla (INDIA),2007-2011,25,12,5,38,13*,5.42,58,65.51,0,0,1
JR Hazlewood (AUS),2010-2020,45,14,12,38,11*,19,59,64.4,0,0,1
CKB Kulasekara (SL),2011-2012,4,3,0,38,19,12.66,72,52.77,0,0,1
PJ Martin (ENG),1995-1998,20,13,7,38,6,6.33,53,71.69,0,0,0
Mohammad Aslam (UAE),1996-1996,4,4,0,38,23,9.5,73,52.05,0,0,0
N M'shangwe (ZIM),2011-2014,6,6,1,38,16,7.6,45,84.44,0,0,1
SS Naik (INDIA),1974-1974,2,2,0,38,20,19,68,55.88,0,0,0
Najeeb Amar (HKG),2004-2008,4,4,1,38,21,12.66,64,59.37,0,0,1
GH O'Brien (BMUDA),2006-2008,9,7,0,38,16,5.42,54,70.37,0,0,2
CAH Stevenson (USA),2019-2019,4,4,1,38,34*,12.66,44,86.36,0,0,1
S Walusimbi (EAf),1975-1975,3,3,0,38,16,12.66,126,30.15,0,0,0
PN Webb (NZ),1983-1984,5,5,1,38,10*,9.5,101,37.62,0,0,0
MP Jarvis (ZIM),1987-1995,12,5,3,37,17,18.5,67,55.22,0,0,0
TS Kamunhukamwe (ZIM),2018-2019,3,3,0,37,34,12.33,50,74,0,0,1
TS Roland-Jones (ENG),2017-2017,1,1,1,37,37*,-,37,100,0,0,0
Saiful Islam (BDESH),1990-1997,7,4,2,37,22*,18.5,59,62.71,0,0,0
Shahid Anwar (PAK),1996-1996,1,1,0,37,37,37,44,84.09,0,0,0
DJ White (NZ),1990-1990,3,3,0,37,15,12.33,97,38.14,0,0,0
Ankur Vasishta (HKG),2014-2014,4,4,1,36,18,12,69,52.17,0,0,0
M Bhanuka (SL),2019-2019,1,1,0,36,36,36,39,92.3,0,0,0
PW Gunaratne (SL),2002-2003,23,8,3,36,15*,7.2,63,57.14,0,0,2
MF Malone (AUS),1977-1982,10,7,3,36,15*,9,63,57.14,0,0,0
G Mylvaganam (UAE),1996-1996,3,3,0,36,23,12,92,39.13,0,0,1
AR Pitcher (BMUDA),2006-2007,4,4,0,36,30,9,89,40.44,0,0,0
KR Pushpakumara (SL),1994-1999,31,9,5,36,14*,9,52,69.23,0,0,2
Saleem Jaffar (PAK),1986-1990,39,13,11,36,10*,18,73,49.31,0,0,2
RB Simpson (AUS),1978-1978,2,2,0,36,23,18,53,67.92,0,0,0
LO Tikolo (KENYA),1996-1996,3,2,2,36,25*,-,75,48,0,0,0
JO Troughton (ENG),2003-2003,6,5,1,36,20,9,76,47.36,0,0,1
B Bhandari (NEPAL),2019-2019,3,3,0,35,21,11.66,77,45.45,0,0,0
PKD Chase (IRE),2015-2018,25,16,6,35,14,3.5,56,62.5,0,0,7
H Durham (BMUDA),2006-2006,9,7,3,35,11,8.75,105,33.33,0,0,0
G Dymock (AUS),1974-1980,15,7,4,35,14*,11.66,82,42.68,0,0,1
Joginder Sharma (INDIA),2004-2007,4,3,2,35,29*,35,30,116.66,0,0,0
C McAuslan (HKG),2017-2017,2,2,0,35,27,17.5,72,48.61,0,0,0
Nazmul Hossain (BDESH),2004-2012,38,21,13,35,6*,4.37,128,27.34,0,0,4
JO Ngoche (KENYA),2010-2013,17,11,4,35,21*,5,85,41.17,0,0,4
KT Sandher (CAN),2006-2007,15,10,4,35,12,5.83,107,32.71,0,0,1
AR Tait (NZ),1998-1999,5,5,2,35,13*,11.66,32,109.37,0,0,0
SD Udal (ENG),1994-2005,11,7,4,35,11*,11.66,46,76.08,0,0,1
MWA van Nierop (NL),2006-2006,2,2,1,35,31*,35,49,71.42,0,0,0
SM Warnapura (SL),2007-2008,3,3,0,35,30,11.66,76,46.05,0,0,1
Zulfiqar Babar (PAK),2014-2015,5,5,3,35,14*,17.5,40,87.5,0,0,0
RP Alexander (USA),2004-2004,2,2,0,34,26,17,75,45.33,0,0,0
SA Ankola (INDIA),1989-1997,20,13,4,34,9,3.77,42,80.95,0,0,5
Ata-ur-Rehman (PAK),1992-1996,30,13,6,34,11*,4.85,76,44.73,0,0,2
Atiq-uz-Zaman (PAK),2000-2000,3,3,1,34,18,17,36,94.44,0,0,0
ID Austin (ENG),1998-1999,9,6,1,34,11*,6.8,49,69.38,0,0,0
RO Collinge (NZ),1973-1978,15,9,3,34,9,5.66,62,54.83,0,0,1
RMS Eranga (SL),2011-2016,19,11,8,34,12*,11.33,64,53.12,0,0,1
BN French (ENG),1985-1988,13,8,3,34,9*,6.8,71,47.88,0,0,2
AS Luseno (KENYA),2003-2010,10,9,7,34,16*,17,50,68,0,0,1
M Mbangwa (ZIM),1996-2002,29,13,6,34,11,4.85,56,60.71,0,0,2
Mohammad Asif (Asia/PAK),2005-2010,38,16,7,34,6,3.77,100,34,0,0,3
CG Rackemann (AUS),1983-1991,52,18,6,34,9*,2.83,77,44.15,0,0,6
TT Smart (HKG),2004-2004,2,2,0,34,25,17,94,36.17,0,0,0
GJ Delany (IRE),2020-2020,2,2,0,33,19,16.5,51,64.7,0,0,0
Fayyaz Butt (OMAN),2019-2019,5,3,1,33,32*,16.5,42,78.57,0,0,1
T Gibbons (BMUDA),2006-2006,2,2,0,33,33,16.5,98,33.67,0,0,1
LWS Kaluperuma (SL),1975-1982,4,3,3,33,14*,-,60,55,0,0,0
RR Kulkarni (INDIA),1983-1987,10,5,3,33,15,16.5,39,84.61,0,0,0
RJ McCurdy (AUS),1985-1985,11,6,2,33,13*,8.25,71,46.47,0,0,1
GE Peckover (ZIM),1983-1983,3,3,1,33,16*,16.5,54,61.11,0,0,0
PARP Perera (SL),2019-2019,2,2,0,33,33,16.5,58,56.89,0,0,1
TL Seifert (NZ),2019-2019,3,2,0,33,22,16.5,27,122.22,0,0,0
AS Wassan (INDIA),1990-1991,9,6,2,33,16,8.25,56,58.92,0,0,1
TM Alderman (AUS),1981-1991,65,18,6,32,9*,2.66,97,32.98,0,0,6
RE Bryson (SA),1997-1997,7,4,3,32,17*,32,25,128,0,0,0
BFW de Leede (NL),2018-2019,3,3,0,32,30,10.66,75,42.66,0,0,1
BP Kruger (NL),2010-2011,5,3,0,32,15,10.66,50,64,0,0,0
SLV Raju (INDIA),1990-1996,53,16,8,32,8,4,67,47.76,0,0,4
JD Siddons (AUS),1988-1988,1,1,0,32,32,32,37,86.48,0,0,0
SP Terry (IRE),2016-2016,5,5,0,32,16,6.4,67,47.76,0,0,1
Amir Hayat (UAE),2018-2019,9,6,3,31,24*,10.33,73,42.46,0,0,1
