Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
O Henry (SA),1992-1992,3,3,1,20,11,10,26,76.92,0,0,0
AP Igglesden (ENG),1994-1994,4,3,1,20,18,10,31,64.51,0,0,1
MR Johnson (USA),2004-2004,2,2,0,20,20,10,19,105.26,0,0,1
MMA Jonkman (NL),2007-2010,4,2,0,20,13,10,51,39.21,0,0,0
BM Mauricette (CAN),1979-1979,3,3,0,20,15,6.66,68,29.41,0,0,1
DT Mutendera (ZIM),1999-2001,9,4,2,20,10,10,43,46.51,0,0,0
Najmul Hossain Shanto (BDESH),2018-2018,3,3,0,20,7,6.66,45,44.44,0,0,0
IL Philip (SCOT),1999-1999,3,3,0,20,17,6.66,89,22.47,0,0,1
ADJ Pitcher (BMUDA),2007-2007,3,3,0,20,12,6.66,28,71.42,0,0,1
Rizwan-uz-Zaman (PAK),1981-1987,3,3,0,20,14,6.66,129,15.5,0,0,0
AF Sattaur (CAN),2003-2003,3,3,0,20,13,6.66,60,33.33,0,0,1
PH Sharma (INDIA),1976-1976,2,2,0,20,14,10,39,51.28,0,0,0
S Shivnarine (WI),1978-1978,1,1,1,20,20*,-,43,46.51,0,0,0
Umair Ali (UAE),2015-2015,2,2,0,20,10,10,30,66.66,0,0,0
KIW Wijegunawardene (SL),1988-1992,26,12,5,20,8*,2.85,55,36.36,0,0,4
JP Behrendorff (AUS),2019-2019,11,5,3,19,11*,9.5,15,126.66,0,0,1
JJ Bumrah (INDIA),2016-2020,61,14,9,19,10*,3.8,43,44.18,0,0,4
JW Dernbach (ENG),2011-2013,24,8,1,19,5,2.71,39,48.71,0,0,1
EL Gouka (NL),1996-1996,3,2,1,19,19,19,36,52.77,0,0,0
RGA Headley (WI),1973-1973,1,1,0,19,19,19,41,46.34,0,0,0
S Jora (NEPAL),2019-2019,1,1,0,19,19,19,20,95,0,0,0
T Kumaran (INDIA),1999-2000,8,3,0,19,8,6.33,27,70.37,0,0,0
MA Meman (ZIM),1987-1987,1,1,0,19,19,19,22,86.36,0,0,0
V Permaul (WI),2012-2017,7,4,1,19,10,6.33,26,73.07,0,0,0
HSM Pieris (SL),1975-1975,3,3,1,19,16,9.5,59,32.2,0,0,0
Sami Faridi (CAN),2008-2008,3,2,0,19,16,9.5,31,61.29,0,0,0
MJ Smith (SCOT),1999-1999,5,5,0,19,13,3.8,85,22.35,0,0,0
Sunzamul Islam (BDESH),2017-2018,3,1,0,19,19,19,24,79.16,0,0,0
C Viljoen (NAM),2019-2019,2,2,1,19,17*,19,23,82.6,0,0,0
AG Wharf (ENG),2004-2005,13,5,3,19,9,9.5,28,67.85,0,0,1
KOK Williams (WI),2017-2018,8,5,4,19,16*,19,27,70.37,0,0,0
SG Borthwick (ENG),2011-2011,2,2,0,18,15,9,16,112.5,0,0,0
DL Chahar (INDIA),2018-2019,3,2,1,18,12,18,22,81.81,0,0,0
CEH Croft (WI),1977-1981,19,6,4,18,8,9,38,47.36,0,0,0
HJ Howarth (NZ),1973-1975,9,5,2,18,11,6,26,69.23,0,0,1
Jamaluddin Ahmed (BDESH),2003-2003,1,1,1,18,18*,-,28,64.28,0,0,0
F Kasteni (ZIM),2007-2007,3,3,0,18,9,6,42,42.85,0,0,1
AV Lalcheta (OMAN),2019-2019,2,2,0,18,12,9,47,38.29,0,0,0
JJC Lawson (WI),2001-2005,13,5,2,18,8,6,16,112.5,0,0,0
Munir Dar (HKG),2008-2008,2,2,0,18,14,9,16,112.5,0,0,0
Saleem Pervez (PAK),1980-1980,1,1,0,18,18,18,39,46.15,0,0,0
LR Shukla (INDIA),1999-1999,3,2,0,18,13,9,19,94.73,0,0,0
Sultan Ahmed (UAE),2019-2019,2,2,0,18,11,9,42,42.85,0,0,0
Syed Maqsood (UAE),2004-2004,2,2,0,18,13,9,43,41.86,0,0,0
Tanvir Ahmed (PAK),2011-2011,2,1,0,18,18,18,12,150,0,0,0
K Whatham (CAN),2011-2011,1,1,0,18,18,18,41,43.9,0,0,0
RGCE Wijesuriya (SL),1982-1985,8,3,2,18,12*,18,48,37.5,0,0,1
Zulqarnain (PAK),1985-1989,16,6,3,18,11*,6,30,60,0,0,2
GI Allott (NZ),1997-2000,31,11,6,17,7*,3.4,56,30.35,0,0,2
SM Curran (ENG),2018-2018,2,2,0,17,15,8.5,29,58.62,0,0,0
IS Gallage (SL),1999-2001,3,2,1,17,14,17,27,62.96,0,0,0
RD Gudhka (KENYA),2011-2011,2,2,1,17,10,17,14,121.42,0,0,0
MJ Hoggard (ENG),2001-2006,26,6,2,17,7,4.25,30,56.66,0,0,1
Ilyas Gull (HKG),2004-2004,2,2,0,17,16,8.5,59,28.81,0,0,0
Intikhab Alam (PAK),1973-1976,4,2,0,17,10,8.5,45,37.77,0,0,0
IT Iqbal (KENYA),1996-1996,3,2,0,17,16,8.5,52,32.69,0,0,0
RSA Jayasekera (SL),1982-1982,2,1,0,17,17,17,42,40.47,0,0,0
KCB Jeremy (WI),2000-2001,6,4,2,17,8*,8.5,42,40.47,0,0,1
RJ Kennedy (NZ),1996-1996,7,4,3,17,8*,17,15,113.33,0,0,0
CBRLS Kumara (SL),2017-2019,13,6,3,17,7*,5.66,45,37.77,0,0,0
P Lever (ENG),1971-1975,10,3,2,17,8*,17,24,70.83,0,0,0
PHKD Mendis (SL),2019-2019,2,2,1,17,9,17,38,44.73,0,0,0
Raqibul Hasan (BDESH),1986-1986,2,2,0,17,12,8.5,65,26.15,0,0,0
CEW Silverwood (ENG),1996-2001,7,4,0,17,12,4.25,34,50,0,0,1
S Abrahams (SA),2000-2000,1,1,1,16,16*,-,26,61.53,0,0,0
RW Anderson (NZ),1976-1978,2,2,1,16,12,16,46,34.78,0,0,0
JH Desai (USA),2004-2004,1,1,0,16,16,16,38,42.1,0,0,0
AM Guruge (UAE),2014-2015,7,4,4,16,10*,-,29,55.17,0,0,0
N Ifill (CAN),2003-2006,4,3,0,16,9,5.33,45,35.55,0,0,1
Jahangir Shah (BDESH),1986-1990,5,4,2,16,8*,8,62,25.8,0,0,1
RL Johnson (ENG),2003-2003,10,4,1,16,10,5.33,20,80,0,0,1
SB Lama (HKG),2004-2004,1,1,1,16,16*,-,48,33.33,0,0,0
BP Loots (NL),2010-2011,7,5,2,16,9*,5.33,27,59.25,0,0,1
RAL Massie (AUS),1972-1972,3,1,1,16,16*,-,24,66.66,0,0,0
B Muzarabani (ZIM),2018-2018,18,15,7,16,7,2,89,17.97,0,0,5
KJ O'Keeffe (AUS),1977-1977,2,2,1,16,16*,16,38,42.1,0,0,1
FN Otieno (KENYA),2010-2010,4,4,0,16,8,4,68,23.52,0,0,1
ADG Roberts (NZ),1976-1976,1,1,0,16,16,16,24,66.66,0,0,0
V Shetty (UAE),2008-2014,2,2,0,16,9,8,29,55.17,0,0,0
Shubman Gill (INDIA),2019-2019,2,2,0,16,9,8,32,50,0,0,0
CB Sole (SCOT),2016-2018,11,5,0,16,7,3.2,36,44.44,0,0,0
S Somasunder (INDIA),1996-1996,2,2,0,16,9,8,63,25.39,0,0,0
J Theron (SA/USA),2010-2019,9,6,1,16,6,3.2,30,53.33,0,0,2
BTJ Wheal (SCOT),2016-2019,13,7,3,16,14,4,31,51.61,0,0,3
PJW Allott (ENG),1982-1985,13,6,1,15,8,3,25,60,0,0,2
KN Amalean (SL),1986-1988,8,3,1,15,9,7.5,26,57.69,0,0,0
RR Beaton (WI),2017-2017,2,2,1,15,12*,15,51,29.41,0,0,0
HF Gurney (ENG),2014-2014,10,6,4,15,6*,7.5,33,45.45,0,0,0
JR Hammond (AUS),1972-1972,1,1,1,15,15*,-,28,53.57,0,0,0
RS Higgins (ZIM),2006-2006,11,8,2,15,7*,2.5,63,23.8,0,0,3
DAW Hollis (BMUDA),2008-2008,1,1,1,15,15*,-,26,57.69,0,0,0
Irfan Fazil (PAK),2000-2000,1,1,0,15,15,15,16,93.75,0,0,0
GE Kidd (IRE),2007-2008,6,1,0,15,15,15,25,60,0,0,0
BW Luckhurst (ENG),1975-1975,3,3,0,15,14,5,69,21.73,0,0,1
Mansoor Rana (PAK),1990-1990,2,2,0,15,10,7.5,24,62.5,0,0,0
Mohammad Zahid (PAK),1996-2002,11,4,2,15,7*,7.5,22,68.18,0,0,0
J Mulder (IRE),2017-2017,4,2,2,15,15*,-,11,136.36,0,0,0
EMDY Munaweera (SL),2017-2017,2,2,0,15,11,7.5,29,51.72,0,0,0
Nurul Abedin (BDESH),1986-1990,4,4,0,15,13,3.75,55,27.27,0,0,2
HD Rutherford (NZ),2013-2013,4,4,0,15,11,3.75,56,26.78,0,0,0
Sajjad Ahmed (BDESH),1995-1995,2,2,0,15,11,7.5,46,32.6,0,0,0
R Shepherd (WI),2019-2020,5,3,0,15,8,5,23,65.21,0,0,0
DM Smith (ENG),1986-1990,2,2,1,15,10*,15,40,37.5,0,0,0
LW Stokkers (NL),2008-2008,1,1,1,15,15*,-,40,37.5,0,0,0
Tariq Javed (CAN),1979-1979,3,3,0,15,8,5,77,19.48,0,0,0
PCR Tufnell (ENG),1990-1997,20,10,9,15,5*,15,31,48.38,0,0,0
PS Vaidya (INDIA),1995-1996,4,2,0,15,12,7.5,12,125,0,0,0
A van der Merwe (IRE),2010-2011,9,6,2,15,8,3.75,25,60,0,0,2
AP Wells (ENG),1995-1995,1,1,0,15,15,15,10,150,0,0,0
Zafar Gohar (PAK),2015-2015,1,1,0,15,15,15,15,100,0,0,0
Ahsan Malik (NL),2011-2014,12,5,5,14,10*,-,27,51.85,0,0,0
Asghar Ali (UAE),2004-2004,2,2,0,14,14,7,53,26.41,0,0,1
Asif Mahmood (PAK),1998-1998,2,2,0,14,14,7,34,41.17,0,0,1
IPP Batuwitarachchi (UAE),2008-2008,2,2,0,14,14,7,48,29.16,0,0,1
AR Butcher (ENG),1980-1980,1,1,0,14,14,14,26,53.84,0,0,0
G Chapple (ENG),2006-2006,1,1,0,14,14,14,7,200,0,0,0
LA Dawson (ENG),2016-2018,3,2,0,14,10,7,17,82.35,0,0,0
HS Dhillon (CAN),2006-2006,2,2,0,14,13,7,35,40,0,0,0
EA Essop-Adam (ZIM),1992-1992,1,1,1,14,14*,-,15,93.33,0,0,0
SKW Kelly (BMUDA),2006-2009,10,6,6,14,7*,-,31,45.16,0,0,0
LD Madushanka (SL),2017-2017,4,4,1,14,7,4.66,26,53.84,0,0,1
AA Mallett (AUS),1971-1975,9,3,1,14,8,7,36,38.88,0,0,1
Mohammad Akram (PAK),1995-2000,23,9,7,14,7*,7,34,41.17,0,0,1
Nadeem Ghauri (PAK),1990-1990,6,3,2,14,7*,14,25,56,0,0,0
R Ngarava (ZIM),2017-2018,9,6,1,14,10,2.8,30,46.66,0,0,2
IA Nicolson (ZIM),2010-2010,2,2,0,14,14,7,22,63.63,0,0,1
D Soraine (CAN),2006-2012,4,4,0,14,6,3.5,20,70,0,0,1
GE Vivian (NZ),1973-1973,1,1,0,14,14,14,30,46.66,0,0,0
LJ Woodcock (NZ),2011-2011,4,2,1,14,11,14,22,63.63,0,0,0
Zahid Razzak (BDESH),1988-1990,3,3,0,14,6,4.66,44,31.81,0,0,0
Aamer Nazir (PAK),1993-1995,9,3,2,13,9*,13,20,65,0,0,0
Aamir Kaleem (OMAN),2019-2019,2,1,0,13,13,13,16,81.25,0,0,0
JC Archer (ENG),2019-2019,14,7,3,13,7*,3.25,22,59.09,0,0,1
Asad Ali (PAK),2013-2013,4,2,0,13,11,6.5,16,81.25,0,0,0
LS Baker (WI),2008-2009,10,4,2,13,11*,6.5,23,56.52,0,0,1
MD Bates (NZ),2012-2012,2,1,0,13,13,13,10,130,0,0,0
GA Bishop (AUS),1987-1987,2,2,0,13,7,6.5,44,29.54,0,0,0
GK Bose (INDIA),1974-1974,1,1,0,13,13,13,18,72.22,0,0,0
NG Cowans (ENG),1983-1985,23,8,3,13,4*,2.6,29,44.82,0,0,3
HT Davis (NZ),1994-1997,11,6,4,13,7*,6.5,33,39.39,0,0,1
RR Emrit (WI),2007-2007,2,2,1,13,13,13,35,37.14,0,0,0
Gurkeerat Singh (INDIA),2016-2016,3,3,1,13,8,6.5,13,100,0,0,0
RL Hayes (NZ),1995-1995,1,1,0,13,13,13,25,52,0,0,0
RO Hurley (WI),2003-2004,9,4,0,13,6,3.25,32,40.62,0,0,1
D Joseph (CAN),2003-2003,4,3,3,13,9*,-,24,54.16,0,0,0
JJ Krejza (AUS),2011-2011,8,2,1,13,7,13,23,56.52,0,0,0
AMN Munasinghe (SL),1994-1996,5,4,1,13,8,4.33,52,25,0,0,1
B Regmi (NEPAL),2018-2019,4,4,0,13,12,3.25,47,27.65,0,0,2
S Seeraj (CAN),2006-2006,1,1,1,13,13*,-,12,108.33,0,0,0
O Thomas (WI),2018-2020,20,10,5,13,6*,2.6,53,24.52,0,0,3
Usman Salahuddin (PAK),2011-2011,2,2,0,13,8,6.5,28,46.42,0,0,0
Zaheer Maqsood (UAE),2015-2015,2,2,2,13,8*,-,46,28.26,0,0,0
Asim Saeed (UAE),2004-2004,2,2,0,12,12,6,19,63.15,0,0,1
DM Basden (BMUDA),2007-2007,2,2,0,12,7,6,39,30.76,0,0,0
GK Bruk-Jackson (ZIM),1993-1993,1,1,0,12,12,12,33,36.36,0,0,0
Danish Kaneria (PAK),2001-2007,18,10,8,12,6*,6,22,54.54,0,0,2
IC Davis (AUS),1974-1977,3,3,1,12,11*,6,35,34.28,0,0,1
RP de Groen (NZ),1993-1994,12,8,3,12,7*,2.4,36,33.33,0,0,4
AM de Silva (SL),1986-1993,4,2,0,12,8,6,24,50,0,0,0
R Dhawan (INDIA),2016-2016,3,2,1,12,9,12,13,92.3,0,0,0
Enamul Haque jnr (BDESH),2005-2009,10,5,1,12,5,3,19,63.15,0,0,2
M Hayward (SA),1998-2002,21,5,1,12,4,3,28,42.85,0,0,1
Imtiaz Abbasi (UAE),1994-1996,7,6,4,12,6*,6,38,31.57,0,0,0
Javed Qadeer (PAK),1995-1995,1,1,0,12,12,12,23,52.17,0,0,0
TJ Jenner (AUS),1975-1975,1,1,0,12,12,12,25,48,0,0,0
AJ McKay (NZ),2010-2012,19,10,7,12,4*,4,47,25.53,0,0,3
PS Mehta (EAf),1975-1975,1,1,0,12,12,12,41,29.26,0,0,0
KP Meiyappan (UAE),2019-2020,4,2,0,12,12,6,18,66.66,0,0,1
PJK Mooney (IRE),2006-2007,4,3,2,12,11*,12,9,133.33,0,0,1
T Muzarabani (ZIM),2015-2016,8,7,3,12,5,3,40,30,0,0,1
Naeemuddin Aslam (UAE),2004-2004,2,2,0,12,12,6,31,38.7,0,0,1
TS Nethula (NZ),2012-2012,5,3,1,12,9*,6,11,109.09,0,0,1
Noor-ul-Haq (AFG),2010-2010,2,2,0,12,12,6,58,20.68,0,0,1
EJ Richardson (IRE),2013-2013,2,1,0,12,12,12,18,66.66,0,0,0
P Sarraf (NEPAL),2019-2019,2,2,0,12,8,6,18,66.66,0,0,0
S Snater (NL),2018-2018,2,2,0,12,12,6,14,85.71,0,0,1
Abul Hasan (BDESH),2012-2018,7,3,0,11,7,3.66,16,68.75,0,0,0
Ahmed Kamal (BDESH),1999-1999,1,1,0,11,11,11,19,57.89,0,0,0
MJD Allingham (SCOT),1999-1999,3,3,0,11,6,3.66,96,11.45,0,0,0
Arshad Pervez (PAK),1978-1978,2,2,0,11,8,5.5,47,23.4,0,0,0
J Blackwood (WI),2015-2015,2,2,0,11,9,5.5,23,47.82,0,0,0
LJ Burger (NAM),2003-2003,6,6,1,11,5,2.2,62,17.74,0,0,2
SF Burger (NAM),2003-2003,2,2,0,11,6,5.5,20,55,0,0,0
PH Carlson (AUS),1979-1979,4,2,0,11,11,5.5,30,36.66,0,0,1
BS Chandrasekhar (INDIA),1976-1976,1,1,1,11,11*,-,13,84.61,0,0,0
PA Emery (AUS),1994-1994,1,1,1,11,11*,-,13,84.61,0,0,0
Haafiz Shahid (PAK),1988-1988,3,3,2,11,7*,11,23,47.82,0,0,0
GW Humpage (ENG),1981-1981,3,2,0,11,6,5.5,24,45.83,0,0,0
Jasdeep Singh (USA),2019-2019,4,3,0,11,11,3.66,39,28.2,0,0,2
NGRP Jayasuriya (SL),2018-2018,2,2,1,11,11*,11,13,84.61,0,0,1
SMS Kaluperuma (SL),1988-1988,2,2,0,11,7,5.5,41,26.82,0,0,0
SC Kuggeleijn (NZ),2017-2017,2,1,1,11,11*,-,6,183.33,0,0,0
NM Kulkarni (INDIA),1997-1998,10,5,3,11,5*,5.5,20,55,0,0,1
JA Maclean (AUS),1979-1979,2,1,0,11,11,11,33,33.33,0,0,0
PM Pushpakumara (SL),2017-2017,2,2,0,11,8,5.5,26,42.3,0,0,0
B Reddy (INDIA),1978-1981,3,2,2,11,8*,-,20,55,0,0,0
Saad Ali (PAK),2019-2019,2,2,0,11,7,5.5,23,47.82,0,0,0
G Sharma (INDIA),1985-1987,11,2,0,11,7,5.5,24,45.83,0,0,0
R Sharma (HKG),2004-2004,2,2,0,11,10,5.5,24,45.83,0,0,0
FJ Titmus (ENG),1975-1975,2,1,0,11,11,11,32,34.37,0,0,0
GD Watson (AUS),1972-1972,2,2,1,11,11*,11,16,68.75,0,0,1
JG Williamson (SCOT),1999-1999,2,2,0,11,10,5.5,35,31.42,0,0,0
Zahid Shah (UAE),2008-2008,2,2,2,11,6*,-,20,55,0,0,0
TR Ambrose (ENG),2008-2008,5,5,1,10,6,2.5,34,29.41,0,0,1
MA Aponso (SL),2016-2018,9,7,4,10,4,3.33,45,22.22,0,0,1
Asif Masood (PAK),1973-1976,7,3,1,10,6,5,17,58.82,0,0,1
HK Bennett (NZ),2010-2017,16,7,5,10,4*,5,35,28.57,0,0,1
D Brown (WI),2001-2002,3,2,1,10,9,10,20,50,0,0,0
ML Cummins (WI),2014-2017,11,3,1,10,5,5,27,37.03,0,0,0
DLS de Silva (SL),1979-1979,2,1,0,10,10,10,35,28.57,0,0,0
JJ Esmeijer (NL),2002-2003,6,5,1,10,7,2.5,43,23.25,0,0,3
B Geeves (AUS),2008-2009,2,2,2,10,10*,-,11,90.9,0,0,0
W Jaffer (INDIA),2006-2006,2,2,0,10,10,5,23,43.47,0,0,1
Kabir Khan (PAK),1994-2000,10,5,4,10,5,10,25,40,0,0,0
AV Kale (INDIA),2003-2003,1,1,0,10,10,10,22,45.45,0,0,0
NJ MacRae (SCOT),2006-2006,2,2,0,10,8,5,36,27.77,0,0,0
CA Marshall (CAN),1979-1979,2,2,0,10,8,5,41,24.39,0,0,0
A Martin (WI),2011-2011,9,6,5,10,4*,10,29,34.48,0,0,0
BMW Patterson (SCOT),1999-1999,3,3,0,10,10,3.33,43,23.25,0,0,2
Shabbir Ahmed (PAK),1999-2005,32,11,5,10,2,1.66,29,34.48,0,0,0
Shariful Haque (BDESH),1998-1998,1,1,0,10,10,10,6,166.66,0,0,0
RAJ Smith (SCOT),2016-2016,2,1,0,10,10,10,6,166.66,0,0,0
TE Srinivasan (INDIA),1980-1981,2,2,0,10,6,5,35,28.57,0,0,0
MP Stead (CAN),1979-1979,2,2,0,10,10,5,45,22.22,0,0,1
GC Tonge (WI),2009-2009,5,4,2,10,5,5,16,62.5,0,0,0
MDJ Walker (NZ),2003-2003,3,1,0,10,10,10,6,166.66,0,0,0
WA Wisneski (NZ),2000-2000,3,2,1,10,6,10,17,58.82,0,0,0
AK Zesers (AUS),1987-1987,2,2,2,10,8*,-,14,71.42,0,0,0
KK Ahmed (INDIA),2018-2019,11,3,1,9,5,4.5,17,52.94,0,0,0
MJ Bennett (AUS),1984-1985,8,4,1,9,6*,3,21,42.85,0,0,2
SM Boland (AUS),2016-2016,14,4,1,9,4,3,22,40.9,0,0,1
CE Bulfin (NZ),1999-1999,4,2,1,9,7*,9,8,112.5,0,0,0
SJ Cameron (SCOT),2018-2018,2,2,1,9,8*,9,13,69.23,0,0,0
SJ Chalmers (SCOT),2009-2009,2,1,1,9,9*,-,14,64.28,0,0,0
NA David (INDIA),1997-1997,4,2,2,9,8*,-,10,90,0,0,0
GN de Silva (SL),1983-1985,4,2,1,9,7,9,18,50,0,0,0
GRA de Silva (SL),1975-1982,6,4,2,9,6*,4.5,33,27.27,0,0,1
DR Doshi (INDIA),1980-1982,15,5,2,9,5*,3,20,45,0,0,2
CJ Drum (NZ),1999-1999,5,2,2,9,7*,-,22,40.9,0,0,0
S Dube (INDIA),2019-2019,1,1,0,9,9,9,6,150,0,0,0
Fahad Usman (UAE),2004-2004,2,2,0,9,9,4.5,18,50,0,0,1
Faisal Athar (PAK),2003-2003,1,1,0,9,9,9,38,23.68,0,0,0
SP Gauchan (NEPAL),2018-2018,1,1,1,9,9*,-,44,20.45,0,0,0
MJ Haslam (NZ),1992-1992,1,1,0,9,9,9,18,50,0,0,0
AG Huckle (ZIM),1997-1999,19,8,4,9,5*,2.25,16,56.25,0,0,3
HR Johnson (USA),2004-2004,2,2,1,9,9,9,20,45,0,0,0
Karim Janat (AFG),2017-2017,1,1,0,9,9,9,33,27.27,0,0,0
JB Little (IRE),2019-2019,4,2,0,9,9,4.5,8,112.5,0,0,1
DE Malcolm (ENG),1990-1994,10,5,2,9,4,3,11,81.81,0,0,1
Mohammad Salim (BDESH),2003-2003,1,1,0,9,9,9,24,37.5,0,0,0
PG Nana (EAf),1975-1975,3,3,2,9,8*,9,45,20,0,0,1
Naveen-ul-Haq (AFG),2016-2019,4,3,2,9,8*,9,21,42.85,0,0,0
Qadeer Ahmed (UAE),2015-2019,11,6,4,9,4,4.5,31,29.03,0,0,0
LS Rajput (INDIA),1985-1987,4,4,1,9,8,3,31,29.03,0,0,2
Rashid Zia (USA),2004-2004,2,2,0,9,8,4.5,57,15.78,0,0,0
BM Scholtz (NAM),2019-2020,8,4,2,9,6,4.5,32,28.12,0,0,0
JA Snow (ENG),1971-1975,9,4,2,9,5*,4.5,41,21.95,0,0,0
OP Stone (ENG),2018-2018,4,1,1,9,9*,-,7,128.57,0,0,0
GP Sulzberger (NZ),2000-2000,3,2,1,9,6*,9,15,60,0,0,0
AJ Tudor (ENG),2002-2002,3,2,1,9,6,9,11,81.81,0,0,0
VB van Jaarsveld (SA),2009-2009,2,2,0,9,5,4.5,15,60,0,0,0
Zahid Hussain (CAN),2011-2011,2,2,1,9,7*,9,31,29.03,0,0,0
VR Aaron (INDIA),2011-2014,9,3,2,8,6*,8,15,53.33,0,0,1
Asif Iqbal (1) (UAE),2015-2015,1,1,0,8,8,8,8,100,0,0,0
RA Austin (WI),1978-1978,1,1,0,8,8,8,13,61.53,0,0,0
BS Browne (WI),1994-1994,4,3,2,8,8*,8,24,33.33,0,0,1
CJ Dala (SA),2018-2018,2,2,1,8,5,8,6,133.33,0,0,0
H Davids (SA),2013-2013,2,2,0,8,7,4,24,33.33,0,0,0
PA Desai (CAN),2010-2014,13,8,5,8,3*,2.66,55,14.54,0,0,2
R Dhanraj (WI),1994-1995,6,2,1,8,8,8,32,25,0,0,0
P Dharmani (INDIA),1996-1996,1,1,0,8,8,8,8,100,0,0,0
TL Fernando (SL),1989-1989,1,1,0,8,8,8,6,133.33,0,0,0
JC Gamage (SL),1995-1995,4,2,2,8,7*,-,9,88.88,0,0,0
Gholam Nousher (BDESH),1986-1990,9,3,2,8,4,8,16,50,0,0,0
Hafizur Rahman (BDESH),1986-1986,2,1,0,8,8,8,24,33.33,0,0,0
ND Hirwani (INDIA),1988-1992,18,7,3,8,4,2,29,27.58,0,0,2
KH Butt (HKG),2008-2008,2,2,0,8,4,4,28,28.57,0,0,0
ACI Lock (ZIM),1996-1996,8,3,2,8,5,8,20,40,0,0,0
MA Lynch (ENG),1988-1988,3,3,0,8,6,2.66,32,25,0,0,1
CS Martin (NZ),2001-2008,20,7,2,8,3,1.6,27,29.62,0,0,2
EZ Matambanadzo (ZIM),1996-1997,7,5,3,8,5*,4,33,24.24,0,0,1
MG Neser (AUS),2018-2018,2,2,0,8,6,4,16,50,0,0,0
A Nortje (SA),2019-2019,4,1,0,8,8,8,18,44.44,0,0,0
PDRL Perera (SL),1999-2007,19,7,2,8,4*,1.6,18,44.44,0,0,4
Rahat Ali (PAK),2012-2016,14,7,4,8,6*,2.66,37,21.62,0,0,2
SS Raul (INDIA),1998-1998,2,2,0,8,8,4,14,57.14,0,0,1
CA Reid (USA),2004-2004,2,2,0,8,6,4,17,47.05,0,0,0
RL Sanghvi (INDIA),1998-1998,10,2,0,8,8,4,11,72.72,0,0,1
VRV Singh (INDIA),2006-2006,2,1,0,8,8,8,13,61.53,0,0,0
Sohail Butt (UAE),1994-1994,2,2,1,8,6*,8,14,57.14,0,0,0
DS Steele (ENG),1976-1976,1,1,0,8,8,8,12,66.66,0,0,0
DM Vonhagt (SL),1985-1985,1,1,0,8,8,8,17,47.05,0,0,0
HS Williams (SA),1999-2000,7,2,1,8,7,8,11,72.72,0,0,0
NP Kenjige (USA),2019-2019,4,2,2,7,6*,-,3,233.33,0,0,0
RW Ali (KENYA),1996-1997,9,3,3,7,6*,-,28,25,0,0,0
J Cameron-Dow (IRE),2019-2019,4,1,1,7,7*,-,10,70,0,0,0
KG Duers (ZIM),1992-1992,6,2,1,7,5,7,20,35,0,0,0
Fazl-e-Akbar (PAK),1998-2001,2,1,0,7,7,7,8,87.5,0,0,0
WCA Ganegama (SL),2001-2006,4,2,0,7,7,3.5,9,77.77,0,0,1
DM Gondaria (KENYA),2013-2013,2,2,0,7,6,3.5,45,15.55,0,0,0
JOA Gordon (CAN),2012-2014,5,4,2,7,4,3.5,28,25,0,0,0
VR Hogg (ZIM),1983-1983,2,1,1,7,7*,-,19,36.84,0,0,0
AG Hurst (AUS),1975-1979,8,4,4,7,3*,-,19,36.84,0,0,0
Izatullah Dawlatzai (AFG),2010-2015,5,3,1,7,6*,3.5,27,25.92,0,0,1
SD Jack (SA),1994-1995,2,2,0,7,6,3.5,8,87.5,0,0,0
Jahangir Alam Talukdar (BDESH),1990-1990,2,1,1,7,7*,-,16,43.75,0,0,0
MKGCP Lakshitha (SL),2002-2003,7,2,1,7,4,7,12,58.33,0,0,0
Liaqat Ali (PAK),1977-1978,3,1,0,7,7,7,31,22.58,0,0,0
DSK Madushanka (SL),2018-2018,1,1,0,7,7,7,6,116.66,0,0,0
GA Manou (AUS),2009-2009,4,1,0,7,7,7,6,116.66,0,0,0
PL Mhambrey (INDIA),1996-1998,3,1,1,7,7*,-,5,140,0,0,0
EA Moseley (WI),1990-1991,9,6,2,7,2*,1.75,15,46.66,0,0,2
JK Moss (AUS),1979-1979,1,1,0,7,7,7,16,43.75,0,0,0
Nazmul Islam (BDESH),2018-2018,5,1,0,7,7,7,13,53.84,0,0,0
M Pushpakumara (SL),2009-2010,3,1,1,7,7*,-,19,36.84,0,0,0
RA Reifer (WI),2019-2019,2,1,0,7,7,7,12,58.33,0,0,0
IDK Salisbury (ENG),1993-1994,4,2,1,7,5,7,12,58.33,0,0,0
K Shuttleworth (ENG),1971-1971,1,1,0,7,7,7,19,36.84,0,0,0
EHSN Silva (UAE),2008-2008,1,1,0,7,7,7,13,53.84,0,0,0
NA Statham (NL),2003-2009,3,3,0,7,7,2.33,50,14,0,0,2
RJW Topley (ENG),2015-2016,10,5,4,7,6,7,40,17.5,0,0,0
RF van Oosterom (NL),1996-2002,3,3,2,7,5*,7,27,25.92,0,0,1
SG Whittingham (SCOT),2017-2019,5,4,2,7,3*,3.5,17,41.17,0,0,0
T Yohannan (INDIA),2002-2002,3,2,2,7,5*,-,11,63.63,0,0,0
MKDI Amerasinghe (SL),2007-2008,8,4,4,6,5*,-,9,66.66,0,0,0
Bhupinder Singh snr (INDIA),1994-1994,2,1,0,6,6,6,13,46.15,0,0,0
IW Callen (AUS),1978-1982,5,3,2,6,3*,6,13,46.15,0,0,1
